From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
vg:11040990	B9A5M1	unreviewed	B9A5M1_9ADEN	Packaging protein 3 (L1-52/55 kDa protein) (Packaging protein 52K)	L1	Human adenovirus 54	372
atu:Atu3164	A9CES4	reviewed	GDH_AGRFC	Galactitol 2-dehydrogenase (GDH) (EC 1.1.1.16) (Sorbitol dehydrogenase) (SorbD) (EC 1.1.1.-)	Atu3164	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	256
hsa:2530	Q9BYC5	reviewed	FUT8_HUMAN	Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)	FUT8	Homo sapiens (Human)	575
hsa:2530	A8K8P8	unreviewed	A8K8P8_HUMAN	Alpha-(1,6)-fucosyltransferase (EC 2.4.1.68)		Homo sapiens (Human)	575
hsa:2530	Q546E0	unreviewed	Q546E0_HUMAN	Alpha-(1,6)-fucosyltransferase (EC 2.4.1.68)	FUT8 hCG_22125	Homo sapiens (Human)	575
hsa:6883	Q16514	reviewed	TAF12_HUMAN	Transcription initiation factor TFIID subunit 12 (Transcription initiation factor TFIID 20/15 kDa subunits) (TAFII-20/TAFII-15) (TAFII20/TAFII15)	TAF12 TAF15 TAF2J TAFII20	Homo sapiens (Human)	161
hsa:4880	P23582	reviewed	ANFC_HUMAN	C-type natriuretic peptide [Cleaved into: CNP-22; CNP-29; CNP-53]	NPPC CNP2	Homo sapiens (Human)	126
hsa:4880	E5LCN7	unreviewed	E5LCN7_HUMAN	C-type natriuretic peptide	NPPC	Homo sapiens (Human)	61
hsa:115201	Q8WYN0	reviewed	ATG4A_HUMAN	Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 2) (Autophagin-2) (Autophagy-related protein 4 homolog A) (HsAPG4A) (hAPG4A)	ATG4A APG4A AUTL2	Homo sapiens (Human)	398
hsa:7988	Q9UDV6	reviewed	ZN212_HUMAN	Zinc finger protein 212 (Zinc finger protein C2H2-150)	ZNF212 ZNFC150	Homo sapiens (Human)	495
hsa:7988	A0A090N8N3	unreviewed	A0A090N8N3_HUMAN	Zinc finger protein 212	ZNF212 tcag7.490	Homo sapiens (Human)	495
hsa:7988	B3KQE6	unreviewed	B3KQE6_HUMAN	cDNA FLJ90340 fis, clone NT2RP2002564, highly similar to Zinc finger protein 212		Homo sapiens (Human)	495
ag:CAD47935	Q93NG1	reviewed	NIT_PAENI	2-oxoglutaramate amidase (EC 3.5.1.111) (Omega-amidase)		Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans)	294
sso:SSO3198	Q97U27	reviewed	GAD_SACS2	D-gluconate/D-galactonate dehydratase (GAD) (GNAD) (EC 4.2.1.140) (EC 4.2.1.39) (EC 4.2.1.6)	gad gnaD SSO3198	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	395
hsa:339302	Q7Z7G2	reviewed	CPLX4_HUMAN	Complexin-4 (Complexin IV) (CPX IV)	CPLX4	Homo sapiens (Human)	160
hsa:7942	P19484	reviewed	TFEB_HUMAN	Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)	TFEB BHLHE35	Homo sapiens (Human)	476
syn:slr1200	P73350	unreviewed	P73350_SYNY3	High-affinity branched-chain amino acid transport protein	livH	Synechocystis sp. (strain PCC 6803 / Kazusa)	388
hsa:3607	Q01167	reviewed	FOXK2_HUMAN	Forkhead box protein K2 (G/T-mismatch specific binding protein) (nGTBP) (Interleukin enhancer-binding factor 1)	FOXK2 ILF ILF1	Homo sapiens (Human)	660
ath:AT5G41480	F4JYE9	reviewed	DHFS_ARATH	Dihydrofolate synthetase (AtDFA) (EC 6.3.2.12) (Protein GLOBULAR ARREST 1)	DHFS DFA GLA1 At5g41480	Arabidopsis thaliana (Mouse-ear cress)	530
hsa:6753	P32745	reviewed	SSR3_HUMAN	Somatostatin receptor type 3 (SS-3-R) (SS3-R) (SS3R) (SST3) (SSR-28)	SSTR3	Homo sapiens (Human)	418
hsa:113189	Q8NCH0	reviewed	CHSTE_HUMAN	Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1)	CHST14 D4ST1 UNQ1925/PRO4400	Homo sapiens (Human)	376
hsa:538	Q04656	reviewed	ATP7A_HUMAN	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
hsa:538	B4DRW0	unreviewed	B4DRW0_HUMAN	cDNA FLJ58125, highly similar to Copper-transporting ATPase 1		Homo sapiens (Human)	488
hsa:538	Q762B6	unreviewed	Q762B6_HUMAN	ATP7A protein	ATP7A	Homo sapiens (Human)	274
hsa:3476	P78318	reviewed	IGBP1_HUMAN	Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16)	IGBP1 IBP1	Homo sapiens (Human)	339
ag:CAA93243	Q92455	reviewed	ABF1_HYPJE	Alpha-L-arabinofuranosidase (Arabinosidase) (EC 3.2.1.55)	abf1	Hypocrea jecorina (Trichoderma reesei)	500
hsa:3684	P11215	reviewed	ITAM_HUMAN	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM CD11B CR3A	Homo sapiens (Human)	1152
hsa:4882	P20594	reviewed	ANPRB_HUMAN	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	NPR2 ANPRB	Homo sapiens (Human)	1047
hsa:55705	Q96P70	reviewed	IPO9_HUMAN	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	Homo sapiens (Human)	1041
hsa:6631	P09234	reviewed	RU1C_HUMAN	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	Homo sapiens (Human)	159
hsa:6631	Q5TAL4	unreviewed	Q5TAL4_HUMAN	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC hCG_16077	Homo sapiens (Human)	159
hsa:5238	O95394	reviewed	AGM1_HUMAN	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)	PGM3 AGM1	Homo sapiens (Human)	542
hsa:9782	P43243	reviewed	MATR3_HUMAN	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	847
hsa:9782	A0A0R4J2E8	unreviewed	A0A0R4J2E8_HUMAN	Matrin-3	MATR3	Homo sapiens (Human)	847
hsa:55630	Q6P5W5	reviewed	S39A4_HUMAN	Zinc transporter ZIP4 (Solute carrier family 39 member 4) (Zrt- and Irt-like protein 4) (ZIP-4)	SLC39A4 ZIP4	Homo sapiens (Human)	647
hsa:285659	Q96R30	reviewed	OR2V2_HUMAN	Olfactory receptor 2V2 (Olfactory receptor 2V3) (Olfactory receptor OR5-3)	OR2V2 OR2V3	Homo sapiens (Human)	315
hsa:90427	Q96LC9	reviewed	BMF_HUMAN	Bcl-2-modifying factor	BMF	Homo sapiens (Human)	184
hsa:81849	Q9BVH7	reviewed	SIA7E_HUMAN	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 (EC 2.4.99.-) (GD1 alpha synthase) (GalNAc alpha-2,6-sialyltransferase V) (ST6GalNAc V) (ST6GalNAcV) (Sialyltransferase 7E) (SIAT7-E)	ST6GALNAC5 SIAT7E	Homo sapiens (Human)	336
hsa:79720	Q9H9H4	reviewed	VP37B_HUMAN	Vacuolar protein sorting-associated protein 37B (hVps37B) (ESCRT-I complex subunit VPS37B)	VPS37B	Homo sapiens (Human)	285
hsa:440073	Q9UPP2	reviewed	IQEC3_HUMAN	IQ motif and SEC7 domain-containing protein 3	IQSEC3 KIAA1110	Homo sapiens (Human)	1182
hsa:283694	Q8N0Y3	reviewed	OR4N4_HUMAN	Olfactory receptor 4N4 (Olfactory receptor OR15-1) (Olfactory receptor OR15-5)	OR4N4	Homo sapiens (Human)	316
hsa:283694	A0A126GVN2	unreviewed	A0A126GVN2_HUMAN	Olfactory receptor	OR4N4	Homo sapiens (Human)	316
hsa:388559	P0CJ79	reviewed	ZN888_HUMAN	Zinc finger protein 888	ZNF888	Homo sapiens (Human)	718
syn:slr0467	Q55164	unreviewed	Q55164_SYNY3	Conserved component of ABC transporter for natural amino acids	natA	Synechocystis sp. (strain PCC 6803 / Kazusa)	267
hsa:2205	P12319	reviewed	FCERA_HUMAN	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	FCER1A FCE1A	Homo sapiens (Human)	257
hsa:28	P16442	reviewed	BGAT_HUMAN	Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form]	ABO	Homo sapiens (Human)	354
hsa:28	A0A089QDC1	unreviewed	A0A089QDC1_HUMAN	Histo-blood group ABO system transferase	ABO	Homo sapiens (Human)	354
hsa:109703458	P86397	reviewed	HTD2_HUMAN	Hydroxyacyl-thioester dehydratase type 2, mitochondrial (HsHTD2) (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase)	HTD2	Homo sapiens (Human)	168
hsa:109703458	L0R6P0	unreviewed	L0R6P0_HUMAN	Alternative protein RPP14 (Ribonuclease P 14kDa subunit, isoform CRA_a)	RPP14 hCG_27729	Homo sapiens (Human)	168
hsa:6878	P49848	reviewed	TAF6_HUMAN	Transcription initiation factor TFIID subunit 6 (RNA polymerase II TBP-associated factor subunit E) (Transcription initiation factor TFIID 70 kDa subunit) (TAF(II)70) (TAFII-70) (TAFII70) (Transcription initiation factor TFIID 80 kDa subunit) (TAF(II)80) (TAFII-80) (TAFII80)	TAF6 TAF2E TAFII70	Homo sapiens (Human)	677
hsa:163059	Q8N7K0	reviewed	ZN433_HUMAN	Zinc finger protein 433	ZNF433	Homo sapiens (Human)	673
hsa:148327	Q8TEY5	reviewed	CR3L4_HUMAN	Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) (Attaching to CRE-like 1) (ATCE1) (Cyclic AMP-responsive element-binding protein 4) (CREB-4) (cAMP-responsive element-binding protein 4) (Transcript induced in spermiogenesis protein 40) (Tisp40) (hJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4]	CREB3L4 AIBZIP CREB4 JAL	Homo sapiens (Human)	395
hsa:57568	Q9P2F8	reviewed	SI1L2_HUMAN	Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2)	SIPA1L2 KIAA1389	Homo sapiens (Human)	1722
hsa:2395	Q16595	reviewed	FRDA_HUMAN	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN); Extramitochondrial frataxin]	FXN FRDA X25	Homo sapiens (Human)	210
hsa:2395	A0A0S2Z3G4	unreviewed	A0A0S2Z3G4_HUMAN	Frataxin, mitochondrial (EC 1.16.3.1)	FXN hCG_2042989	Homo sapiens (Human)	210
lpn:lpg2830	Q5ZRQ0	reviewed	LUBX_LEGPH	E3 ubiquitin-protein ligase LubX (EC 2.3.2.27) (Legionella U-box protein) (RING-type E3 ubiquitin transferase LubX)	lubX legU2 lpg2830	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	246
hsa:6229	P62847	reviewed	RS24_HUMAN	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	RPS24	Homo sapiens (Human)	133
ath:AT3G23920	Q9LIR6	reviewed	BAM1_ARATH	Beta-amylase 1, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 7) (Thioredoxin-regulated beta-amylase) (TR-BAMY)	BAM1 BMY7 TRBAMY At3g23920 F14O13.12	Arabidopsis thaliana (Mouse-ear cress)	575
ath:AT3G23920	A0A178VNG4	unreviewed	A0A178VNG4_ARATH	Beta-amylase (EC 3.2.1.2)	AXX17_At3g25820 AN1_LOCUS13860	Arabidopsis thaliana (Mouse-ear cress)	575
hsa:51377	Q9Y5K5	reviewed	UCHL5_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	UCHL5 UCH37 AD-019 CGI-70	Homo sapiens (Human)	329
hsa:7220	P48995	reviewed	TRPC1_HUMAN	Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1)	TRPC1 TRP1	Homo sapiens (Human)	793
hsa:29785	Q96SQ9	reviewed	CP2S1_HUMAN	Cytochrome P450 2S1 (EC 1.14.14.-) (CYPIIS1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Thromboxane-A synthase) (EC 5.3.99.5)	CYP2S1 UNQ891/PRO1906	Homo sapiens (Human)	504
hsa:146198	Q8TF47	reviewed	ZFP90_HUMAN	Zinc finger protein 90 homolog (Zfp-90) (Zinc finger protein 756)	ZFP90 KIAA1954 ZNF756	Homo sapiens (Human)	636
hsa:79590	Q96A35	reviewed	RM24_HUMAN	Large ribosomal subunit protein uL24m (39S ribosomal protein L24, mitochondrial) (L24mt) (MRP-L24)	MRPL24	Homo sapiens (Human)	216
hsa:2186	Q12830	reviewed	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	Homo sapiens (Human)	3046
ag:AJR19451	A0A0A8J873	unreviewed	A0A0A8J873_ECOLX	CBS domain-containing protein (Mannose-1-phosphate guanyltransferase) (Putative mannose-1-phosphate guanyltransferase)	FIJ20_17195	Escherichia coli	352
hsa:8379	Q9Y6D9	reviewed	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181)	MAD1L1 MAD1 TXBP181	Homo sapiens (Human)	718
hsa:3067	P19113	reviewed	DCHS_HUMAN	Histidine decarboxylase (HDC) (EC 4.1.1.22)	HDC	Homo sapiens (Human)	662
hsa:5558	P49643	reviewed	PRI2_HUMAN	DNA primase large subunit (DNA primase 58 kDa subunit) (p58)	PRIM2 PRIM2A	Homo sapiens (Human)	509
rru:Rru_A3536	Q2RNG5	reviewed	BLUB_RHORT	5,6-dimethylbenzimidazole synthase (DMB synthase) (EC 1.13.11.79)	Rru_A3536	Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIMB 8255 / S1)	211
hsa:7305	O43914	reviewed	TYOBP_HUMAN	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	TYROBP DAP12 KARAP	Homo sapiens (Human)	113
hsa:117145	Q5T1C6	reviewed	THEM4_HUMAN	Acyl-coenzyme A thioesterase THEM4 (Acyl-CoA thioesterase THEM4) (EC 3.1.2.2) (Carboxyl-terminal modulator protein) (Thioesterase superfamily member 4)	THEM4 CTMP	Homo sapiens (Human)	240
hsa:117145	A8K0C9	unreviewed	A8K0C9_HUMAN	cDNA FLJ78382, highly similar to Homo sapiens C-terminal modulator protein, transcript variant 2,mRNA		Homo sapiens (Human)	107
bsu:BSU35950	P36948	reviewed	RBSC_BACSU	Ribose import permease protein RbsC	rbsC BSU35950	Bacillus subtilis (strain 168)	322
bsu:BSU35950	A0A6M3ZJU0	unreviewed	A0A6M3ZJU0_BACSU	Ribose ABC transporter permease	rbsC HIR78_20670	Bacillus subtilis (strain 168)	322
ag:BAD95828	Q53U11	reviewed	NEOK_STRFR	UDP-GlcNAc:ribostamycin N-acetylglucosaminyltransferase (EC 2.4.1.285) (Neomycin biosynthesis protein 15) (Neo-15) (Neomycin biosynthesis protein K)	neoK neo15 neoF	Streptomyces fradiae (Streptomyces roseoflavus)	366
tac:Ta1305	Q9HIN1	reviewed	MV3K_THEAC	Mevalonate 3-kinase (M3K) (EC 2.7.1.185) (ATP:(R)-mevalonate 3-phosphotransferase) (ATP:(R)-MVA 3 phosphotransferase)	Ta1305	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	318
hsa:80017	Q7Z3D6	reviewed	GLUCM_HUMAN	D-glutamate cyclase, mitochondrial (EC 4.2.1.48)	DGLUCY C14orf159 UNQ2439/PRO5000	Homo sapiens (Human)	616
hsa:427	Q13510	reviewed	ASAH1_HUMAN	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) (Putative 32 kDa heart protein) (PHP32) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	ASAH1 ASAH HSD-33 HSD33	Homo sapiens (Human)	395
hsa:427	A8K0B6	unreviewed	A8K0B6_HUMAN	ceramidase (EC 3.5.1.23)		Homo sapiens (Human)	395
hsa:427	Q53H01	unreviewed	Q53H01_HUMAN	ceramidase (EC 3.5.1.23)		Homo sapiens (Human)	395
hsa:5627	P07225	reviewed	PROS_HUMAN	Vitamin K-dependent protein S	PROS1 PROS	Homo sapiens (Human)	676
hsa:5627	A0A0S2Z4K3	unreviewed	A0A0S2Z4K3_HUMAN	Protein S isoform 1	PROS1	Homo sapiens (Human)	676
ath:AT3G48990	Q9SMT7	reviewed	4CLLA_ARATH	Oxalate--CoA ligase (EC 6.2.1.8) (4-coumarate--CoA ligase isoform 8) (At4CL8) (4-coumarate--CoA ligase-like 10) (Acyl-activating enzyme 3) (Adenosine monophosphate binding protein 3) (AtMPBP3) (Oxalyl-CoA synthetase)	AAE3 4CLL10 AMPBP3 At3g48990 T2J13.170	Arabidopsis thaliana (Mouse-ear cress)	514
ath:AT3G48990	A0A178V7A3	unreviewed	A0A178V7A3_ARATH	AAE3	AXX17_At3g43140 C24_LOCUS15123	Arabidopsis thaliana (Mouse-ear cress)	514
sce:YOL055C	Q08224	reviewed	THI20_YEAST	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20 (EC 2.7.1.49) (EC 2.7.4.7) (EC 3.5.99.2) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	THI20 YOL055C O1239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
eco:b3843	P0AAB4	reviewed	UBID_ECOLI	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	ubiD yigC yigY b3843 JW3819	Escherichia coli (strain K12)	497
hsa:3354	P28566	reviewed	5HT1E_HUMAN	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)	HTR1E	Homo sapiens (Human)	365
hsa:388567	O43361	reviewed	ZN749_HUMAN	Zinc finger protein 749	ZNF749	Homo sapiens (Human)	778
hsa:905	O60583	reviewed	CCNT2_HUMAN	Cyclin-T2 (CycT2)	CCNT2	Homo sapiens (Human)	730
hsa:905	B4DH21	unreviewed	B4DH21_HUMAN	cDNA FLJ58505, highly similar to Cyclin-T2		Homo sapiens (Human)	488
hsa:594857	P0C0P6	reviewed	NPS_HUMAN	Neuropeptide S	NPS	Homo sapiens (Human)	89
ppu:PP_1016	Q88P37	unreviewed	Q88P37_PSEPK	Mannose/glucose ABC transporter, permease protein	gtsB PP_1016	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	302
hsa:219464	Q8NGG2	reviewed	OR5T2_HUMAN	Olfactory receptor 5T2 (Olfactory receptor OR11-177)	OR5T2	Homo sapiens (Human)	359
hsa:1373	P31327	reviewed	CPSM_HUMAN	Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	CPS1	Homo sapiens (Human)	1500
hsa:1373	Q6PEK7	unreviewed	Q6PEK7_HUMAN	CPS1 protein		Homo sapiens (Human)	70
ag:BAE07069	Q4H4F2	unreviewed	Q4H4F2_NIACI	Possible oxidoreductase (Putative 3-amino-2,3-dideoxy-scyllo-inositol 1-dehydrogenase)	btrE	Niallia circulans (Bacillus circulans)	349
hsa:219865	Q8NG78	reviewed	OR8G5_HUMAN	Olfactory receptor 8G5 (Olfactory receptor 8G6) (Olfactory receptor OR11-298)	OR8G5 OR8G5P OR8G6	Homo sapiens (Human)	346
hsa:219865	A0A126GVX5	unreviewed	A0A126GVX5_HUMAN	OR8G5	OR8G5	Homo sapiens (Human)	346
hsa:219865	A0A126GW95	unreviewed	A0A126GW95_HUMAN	OR8G5 (Olfactory receptor family 8 subfamily G member 5)	OR8G5	Homo sapiens (Human)	311
hsa:260434	Q8WXC3	reviewed	PYDC1_HUMAN	Pyrin domain-containing protein 1 (PAAD-only protein 1) (Pyrin-only protein 1) (cellular POP1) (cPOP1)	PYDC1 ASC2 ASCI POP1 PYC1	Homo sapiens (Human)	89
hsa:1282	P02462	reviewed	CO4A1_HUMAN	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	COL4A1	Homo sapiens (Human)	1669
hsa:1132	P08173	reviewed	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	CHRM4	Homo sapiens (Human)	479
hsa:4995	P47893	reviewed	OR3A2_HUMAN	Olfactory receptor 3A2 (Olfactory receptor 17-228) (OR17-228) (Olfactory receptor OR17-14)	OR3A2 OLFRA04	Homo sapiens (Human)	321
